Title	Abstract	Keywords	Coordinator	Participants	URL	Interesting
Scale-resolving Simulations for Innovations in Turbomachinery Design	"Sci-Fi-Turbo aims to revolutionise the aero engine design process by advancing and integrating high-order scale-resolving simulations (SRS) and optimization methodologies into standard industrial workflows. SRS are a key enabler for developing ultra-efficient propulsion systems that drastically reduce GHG emissions by 2035 and achieve the EU's target to be climate-neutral by 2050. The advancements will boost design process capabilities and reduce product development cycles.  

Future engine concepts require opening up the design space and solving complex design problems out of reach for today's standard industrial design processes within the required timeframe. To achieve the necessary step change in engine design, a similar step change is needed for the design approach. Sci-Fi-Turbo fills this urgent need by exploiting opportunities in three foundation technologies: High-performance computing, high-order numerical methods, and AI/ML. The combination is used to implement and demonstrate two key advancements. First, a highly integrated high-order SRS design process is established for modern CPU/GPU hardware, meeting robustness, accuracy, and turnaround time requirements. It will provide increased functionality and effectivity at an industrial level and pave the way for the uptake of SRS-based design by the industry. The high accuracy of the methodology will also reduce the need for low-TRL testing and enable new concepts and extended operating conditions. Second, an SRS-assisted multi-fidelity, data-driven optimisation framework is developed, which embeds and exploits the advantages of highly accurate high-order SRS while leveraging AI/ML methods to increase the predictive capability of lower-fidelity simulations and maximize overall process accuracy and speed. Dedicated experiments support the technology advancement and will enable the design of net-zero-emission engines in due time and contribute to the digital transformation of the aviation industry.   "	Scale-resolving simulations; machine-learning; data-driven turbulence modelling; multi-fidelity optimization; turbomachinery design; climate-neutral aviation	DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV - DLR	ANSYS GERMANY GMBH - ANSYS; CENTRE DE RECHERCHE EN AERONAUTIQUE ASBL - CENAERO - CENAERO	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101138080/program/43108390/details	
Scalable, ferroelectric based accelerators for energy efficient edge AI	"The Ferro4EdgeAI project will provide an ultra-low power, scalable edge accelerator for artificial intelligence incorporating a memory augmented neural network, based on low cost, high density, multi-level, Back End of Line (BEoL) integrated ferroelectric (FE) technology.
We expect to achieve a 2500x gain in energy-efficiency to break the POPS/W barrier with respect to the state-of-the-art CMOS accelerators and predictions for other emerging technology AI hardware. To do so, five ambitious specific objectives have been selected:
- multi-level functionality in hafnia-based thin films by investigating the optimum trade-off in memory window, film thickness & stability of the ferroelectric state
- low operating voltage for the non-volatile memory and robust multilevel operation of the FeFET-2 for high density logic operations and data storage. A low operating voltage is mandatory for power rating reduction, while robust multilevel operation is essential for analogue in-memory computing at the edge.
- integration and characterization of multi-level, low voltage, FeFET-2 arrays
- definition, design and demonstration of a low power FE AI accelerator suitable for scalable systems integration
- Systems simulation of ultra-low power FE accelerator enhanced edge processing for targeted edge applications of voice and image recognition
Ferro4EdgeAI is a multidisciplinary project engaging 12 partners from 6 countries covering the academic and industrial worlds (including 2 SMEs). An implementation plan is presented in the form of 6 work packages, 5 of which are technical in nature. Synergy in communication and dissemination by the several partners and stakeholders (including an external advisory board and collaboration with South Korea) will maximize the project progress and impact. Solutions to overcome the fundamental technological barriers as well as appropriate deliverables, tasks, milestones, and risks to complete the project objectives in due time are presented."	ultra-low power; scalable accelerator; edge computation; in-memory computing; artificial intelligence; ferroelectronics; BEoL; FeFET	COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CEA		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101135656/program/43108390/details	
Safe System for radical improvement of road safety in low- and middle-income African countries	The primary objective of the AfroSAFE project is to make a significant progress in propagation of the Safe System modus operandi within the road safety work context in African countries. This is reached by exposing the local practitioners and decision makers to the state-of-the-art knowledge and practices within road safety management based on Safe System principles, as well as supporting them by sharing necessary knowledge, tools and methods for road safety improvement—adjusted to the African conditions and in tight cooperation with the local actors. More specifically, this is reached through mapping of the existing regulations, procedures, methods and tools within all five pillars of road safety (management, safe infrastructure, safe vehicles, safe road users and post-crash care), development of the recommendations for improvements and running a series of pilots and demonstrations to illustrate these recommendations in action. In these activities, the problems and needs of the vulnerable road users will receive particular attention. Another focus area for the AfroSAFE project is capacity building through education of the local educators in all areas relevant for road safety. Together with them, the current curriculums are revised, new educational programmes created, and an educational platform—a virtual centre of excellence—will be created.	Africa; Traffic safety; safety management; Safe System; Vision Zero	LUNDS UNIVERSITET -	AUTOLIV DEVELOPMENT AB - AUTOLIV; NTU INTERNATIONAL AS - NTU	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101069500/program/43108390/details	
SUstainable Photo-ElectRochemical VALorization of flue gases	"In the road to sustainability, the treatment of post-combustion emissions is still far from being techno-economically viable. On one end, the low concentration of CO2 in these streams, precludes the use of current carbon capture (CC) technologies. On the other end, even if CC were successfully implemented, there are not plausible final uses, maybe except geological long-term storage. Our ambitious proposal aims to investigate the viability of a technology able to tackle these challenges at once. Our SUPERVAL technology will develop scientific solutions from low-cost, non-critical raw materials and processes, with the added value of removing/valorizing the NOx contaminants from flue gas.
We propose to design and realize an autonomous, solar-powered installation able to capture harmful emissions from flue gas, and valorize them as commodities for the chemical industry, using water as sacrificial source of electrons and protons. The CO2 will be transformed into an organic, energy-rich molecule (formate). The NOx will be also captured and transformed, in combination with N2, into ammonia using the hydrogen obtained in the CO2 co-electrolysis processes. This integrated effort will offer the comprehensive capture and valorization of carbon and nitrogen components in post-combustion emissions, thus limiting pollutants and resulting in added-value chemicals. The corresponding techno-economic analysis and life cycle assessment studies will help to shape the components and performance of SUPERVAL as a useful technological advancement in the search for zero net emissions."	road to zero emissions; post-combustion capture; flue gas; CCU; ammonia; LCA	FUNDACIO PRIVADA INSTITUT CATALA D'INVESTIGACIO QUIMICA - FUNDACION PRIVADA INSITUTO CATALAN DE INVESTIGACION QUIMICA ICIQ	2.-0 LCA CONSULTANTS APS - 2.-0 LCA; CONSORZIO INTERUNIVERSITARIO NAZIONALE PER LA SCIENZA E TECNOLOGIA DEI MATERIALI -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101115456/program/43108390/details	
SUPRAMOLECULAR AGENTS AS RADIOTHERANOSTIC DRUGS	"From diagnostic applications in the quantification and characterisation of biomarker expression in cancer patients, through to molecularly targeted radionuclide therapy, radiopharmaceuticals are at the frontline of modern personalised medicine. The radical long-term vision of SMARTdrugs is to harness the untapped potential of supramolecular chemistry to create a new class of therapies - radiotheranostics - which combine both diagnostic and therapeutic radionuclides in one compound. By using the self-assembly of host-guest supramolecular coordination complexes and molecularly interlocked molecules as scaffolds for creating supramolecular radiotheranostic drugs, new methods for radiotheranostic synthesis that break away from conventional medicinal chemistry concept will be introduced. SMARTdrugs will establish a proof-of-concept demonstrating the utility of non-covalent systems in the design of multifunctional radiotheranostic agents with tailored pharmacokinetics, and their application in challenging drug-delivery scenarios including targeted delivery to cancers of the lung and brain. 

Our 3 main objectives:
Objective 1 – Develop new chemical landscapes using non-covalent bonding to create functionalised supramolecular compounds for cancer-specific theranostics
Objective 2 – Elucidate the key relationships between supramolecular radiotheranostics and the complex tumour microenvironment that determine drug efficacy in vivo
Objective 3 – Perform head-to-head studies to establish a proof-of-principle that supramolecular chemistry is a viable alternative to classical radiopharmaceutical design

The long-term goal is to establish a new chemical landscape for radiotheranostic design, and to facilitate clinical translation of this new technology. Successful experiments will lay the foundations for exploiting supramolecular chemistry in the wider context of drug delivery and theranostics, and for studying biological interactions at the cellular to whole-organism levels."	supramolecules; theranostics; imaging; therapy; cancer; blood brain barrier	TECHNISCHE UNIVERSITAET MUENCHEN - TUM	ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOMATERIALES- CIC biomaGUNE - CIC biomaGUNE; UNIVERSITAIR MEDISCH CENTRUM UTRECHT - UMC UTRECHT	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101129886/program/43108390/details	
SUNlight-to-LIQUID - Efficient solar thermochemical synthesis of liquid hydrocarbon fuels using tailored porous-structured materials and heat recuperation	"The European Green Deal aims at a 90% reduction in transport emissions to achieve climate neutrality by 2050. The main leverage of road, rail, aviation, and waterborne transport is increasing the share of renewable fuels. SUN-to-LIQUID II addresses this challenge with an integrated solar-thermochemical pathway that has the potential to produce sustainable and cost-effective fuels at the scale of future demand directly from sunlight, water and CO2. 
The primary objective is to achieve a record-high energy conversion of 15% - a 3-fold increase of the state of the art - by bringing novel concepts (TRL 2) and lab-scale developments (TRL 3) to the field (TRL 4-5). To this end, the aims are the optimization of a high-flux solar concentrating heliostat & tower system, the development and integration of novel 3D structured reactants and implementation of high-temperature heat recovery within the solar-thermochemical system. Detailed scale-up and constraint analyses and a commercial exploitation of the solar-thermochemical fuel technology strategy complement the key objectives for the way forward. 
Through a 48-months 5.7-MEuros valued action, SUN-to-LIQUID II will demonstrate on-sun the viability of the integrated solar fuel pathway on a 50-kW scale, and will create a conceptual design of a next-generation commercial multi-megawatt-scale solar plant. Gathering three research organisations, two industry partners and one SME from five European countries, the highly complementary consortium builds on its unique expertise and unique state-of-the-art research facilities. 
As a result, five expected outcomes of HORIZON-CL5-2022-D3-03-07 are achieved with research, development and demonstration of the SUN-to-LIQUID II technology, and with the system analyses providing the evidence for a pathway towards cost-effective and deep GHG emission reduction especially for aviation, with technical scalability to production potentials beyond projected future demand."	transportation; aviation; emission reduction; hydrocarbons; SAF; sustainable fuel; solar fuel; renewable fuel of non-biological origin; sunlight-to-liquid; concentrated solar energy; heat recovery	BAUHAUS LUFTFAHRT EV -	DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV - DLR; Fundacion IMDEA Energia - IMDEA Energia	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101122206/program/43108390/details	
STRUCTURAL RELIABLE OFFSHORE FLOATING PV SOLUTION INTEGRATING CIRCULAR CONCRETE FLOATING BREAKWATER	"SUREWAVE will develop and test an innovative concept of Floating Photo-Voltaic (FPV) system consisting of an external floating breakwater structure acting as a protection against severe wave-wind-current loads on the FPV modules, allowing increased operational availability and energy output, thus unlocking the massive deployment of Offshore FPV. It will be focused on the research for securing optimal behaviour at aero & hydrodynamic and structural integrity level of the external breakwater, the internal FPV modular structure, the connections, the mooring and anchoring and the whole FPV system, complying with mechanical, electrical (maximizing energy output) and cost-efficiency requirements, ensuring high lifetime of critical components, high reliability of the system and easy, quick and cost-efficient, construction, installation and O&M of the whole system.
This will require:
1) the development of novel circular concrete material solutions for the breakwater, cost-effective, easy to produce and with high mechanical, physical and durability properties and low CO2 footprint.
2) the development of an advanced predictive computational modelling and simulation framework: coupled aero & hydrodynamic modelling, Structural integrity modelling, material properties modelling and Structural Health Management to reduce CAPEX and OPEX;
3) the design and implementation of an optimal testing and validation methodology for offshore FPV system to achieve TRL5, including lab testing, basin-model testing and marine environment testing of critical components assuring high resilience to corrosion and biofouling.
Maximum advantage of existing expertise will be taken from experts in: offshore wind floating structures, material and phenomena modelling (SINTEF, MARIN, CEIT), design and installation of FPV in calm waters (SIS), floating solutions (CLEMENT), circular structural and non-structural materials (ACC) and in social, environmental and economic assessment (IFEU)."	Offshore floating Photovoltaic; FPV; aerodynamic; hydrodynamic; wave-breaker; new circular concrete materials; anchoring; mooring; modeling and simulation tools; structural health management	SINTEF AS - SINTEF	ACCIONA CONSTRUCCION SA -; ASOCIACION CENTRO TECNOLOGICO CEIT - Ceit; CLEMENT GERMANY GMBH -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101083342/program/43108390/details	
SPIKING PHOTONIC-ELECTRONIC IC FOR QUICK AND EFFICIENT PROCESSING	Rapid advances in artificial intelligence technologies have led to powerful models and algorithms that have revolutionized many applications across all fields of science and technology. Deep learning performed within artificial neural networks has yielded new ways to process data, leading to sophisticated systems with impressive functionality and benefits. However, conventional computing hardware is reaching its limits in terms of energy efficiency and speed. A new approach to computing hardware is needed. Novel brain-inspired or neuromorphic chips working with biologically-inspired spiking neural networks have gained attention as they promise highly efficient ways to process data. Important research effort has been dedicated to develop such neuromorphic systems in electronic or photonic hardware separately, each with its drawbacks and limitations. SPIKEPro proposes a science-towards-technology breakthrough by combining low-energy electrical and photonic neurons into a joint spiking neural network on an integrated circuit. SPIKEPro’s chip integration approach is based on a common technology platform, connecting ultrafast laser optical neurons with efficient electrical spiking diodes through non-volatile synaptic weights. This enables to simultaneously capitalise on the advantages of both electronics and photonics to deliver efficient and high-speed SNNs going beyond existing implementations. In addition to reducing the energy consumption per spike in the network, SPIKEPro will also develop novel learning strategies and algorithms able to work with reduced number of synaptic connections. These will be possible by exploiting the hardware parameters of the electrical and photonic spiking devices. The outcome of SPIKEPro will have lasting economic, societal and scientific impact. The project will bring ultra-fast and efficient neuromorphic hardware into the disparate fields of edge computing, sensor data processing, high-speed control and computational neuroscience.	neuromorphic computing; spiking neural network hardware; brain-inspired computing	TECHNISCHE UNIVERSITEIT EINDHOVEN - TU/e	HEWLETT PACKARD ENTERPRISE BELGIUM -; TECHNISCHE UNIVERSITAET ILMENAU - TUIL	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101129904/program/43108390/details	
SPACE Universal Serial Bus	Orbital modular robotic is a key factor to support sustainability in Space. It is then possible to combine modular components to either create a satellite or, in the event of malfunction, to replace a module. To connect such modules, standard interconnects with multifunctional features are required. The standards provide the laws to connect the space along different functional lines including  among those mechanical, electrical, thermal, data and fluidic. For the On-Orbit Servicing market, these standards play a key role to enable space connectors to mate two spacecrafts in a universal and serial way. Several European solutions are already available with a reasonable level of maturity to mechanically connect two space elements and provide data and power transfer. However, there is not a set of common recommendations agreed on by representative European users of space connectors. Considering the huge impact of these multifunctional interconnects at system level, it seems critical to first foster cooperation among them to enable a higher level of standardization to assemble future elements coming from different sources. The main objective of this project is to pave the way for a more flexible, universal and serial interface (USB-type) leveraging the existing standard interconnects for On-Orbit Servicing and assembly applications. After the definition of a standardization level, the design of a universal and serial standard interface will be proposed and demonstrated orienting its features towards compactness, docking symmetry, large docking misalignment tolerances, large loads transfer, data/power transfer redundancy and especially interoperability with other interfaces. Currently interoperability is the only remaining requirement which is not met by any existing space connector/interface. The project will then perform a dedicated experimental benchmark to confirm the achievement of this specific requirement as well as its prospective industrial exploitation.	Standard Interconnect; Interface; Orbital Robotics; Benchmark; Interoperability	THALES ALENIA SPACE FRANCE SAS - THALES ALENIA SPACE FRANCE	DEUTSCHES FORSCHUNGSZENTRUM FUR KUNSTLICHE INTELLIGENZ GMBH - DFKI; IBOSS GMBH -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101135215/program/43108390/details	
SKIN MICROBIAL DEVICES	"The long-term vision and ambition of the SKINDEV consortium is to complement the human skin microbiome with Smart Skin Microbial Devices (SSMDs) in atopic dermatitis (AD) patients and other dermatological conditions as a new non-invasive system for future treatment and monitoring of disease gearing up towards preventive care. This idea and new technology are groundbreaking and radical.
SKINDEV aims to make SSMDs generally applicable through innovative technologies like sensing applications in wearables and cameras providing at-home on-demand skin health information. SSMDs will be ideal for early detection and intervention of health hazards.
In this Pathfinder project the focus is on interaction at three steppingstones (SS), towards a prototype SSMD with proof-of-concept for the coupling of sensing and actuation in Cutibacterium acnes (C. acnes) for AD-related inflammatory processes:
SS1. Systems engineering to create a multi-scale computational model of AD pathophysiology;
SS2. Genetic engineering to create sensing and actuation circuits in C. acnes;
SS3. Tissue engineering to create a high throughput skin organoid platform for AD.
A priority of SKINDEV is to translate technological innovations into proof-of-concept novel devices. SKINDEV is expected to invent such new technologies to i) genetically modify skin microbes, ii) create sensing modules and actuators, and iii) develop pre-clinical skin organoids and computational models for host-microbe interactions. The work plan implements an efficient ‘design, build, test and learn cycle’ to accelerate the achievement of sensing and actuating performance fulfilling relevant physiological roles.
Successful achievement of these ambitious goals requires highly integrated interdisciplinary collaborations by scientists working at the forefront of relevant disciplines. "	skin microbiome; microbial devices; synthetic biology; sensors	UNIVERSIDAD POMPEU FABRA - UPF	HEINRICH-HEINE-UNIVERSITAET DUESSELDORF - UDUS; STICHTING RADBOUD UNIVERSITAIR MEDISCH CENTRUM - RADBOUDUMC	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101098826/program/43108390/details	
SCALABLE MULTI-CHIP QUANTUM ARCHITECTURES ENABLED BY CRYOGENIC WIRELESS / QUANTUM -COHERENT NETWORK-IN PACKAGE	Today’s tremendous interdisciplinary effort towards building a quantum computer promises to tackle problems beyond reach of any classical computer. Although intermediate-scale quantum computers have been recently demonstrated to exceed the capability of the most powerful supercomputers, it is widely recognized that addressing any real-world problem will require upscaling quantum computers to thousands or even millions of qubits. This proposal focuses on the grand challenge of scalability in quantum computers, from a full-stack architectural standpoint, and enabled by communication networks operating within the quantum computing package at cryogenic temperatures. The QUADRATURE project hence aims to pioneer a new generation of scalable quantum computing architectures featuring distributed quantum cores (Qcores) interconnected via quantum-coherent qubit state transfer links and orchestrated via an integrated wireless interconnect. This novel architecture supports reconfigurability to serve massive flows of heterogeneous quantum algorithmic demands. The main objectives are (i) to experimentally prove the first micro-integrated all-RF qubit-state transfer link within a cryogenic tunable superconducting cavity waveguide in the microwave and THz frequency region for quantum-coherent frequency-multiplex and routing (ii) to achieve experimentally the transfer of classical data through wireless in-package links by integrated cryo-antennas and tranceivers (iii) to build protocols for a quantum-coherent integrated network enabling the exchange of qubits through the coordination of the quantum-coherent data plane and the wireless control plane (iv) to develop appropriate scalable architectural methods such as mapping, scheduling, and coordination approaches across multiple Qcores, and (v) to demonstrate the scalability of the approach via multi-scale design space optimization and for a set of quantum algorithm benchmarks, with at least 10x improvement in overall performance.	Scalable quantum computing systems; Wireless Network-on-chip; Quantum-coherent communication links; Cryo-CMOS; Quantum computing architectures; Quantum algorithms	UNIVERSITAT POLITECNICA DE VALENCIA - UPV	BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION - BSC CNS; EQUAL 1 LABORATORIES IRELAND LIMITED -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101099697/program/43108390/details	
SAFE EFFICIENT BATTERY SYSTEM BASED ON ADVANCED CELL TECHNOLOGY	BATSS project will focus on the development of a novel battery system concept which exhibits improved high-performance and safety, as a way to unlock the market uptake of next-generation battery system to a broad range of transport applications. The project will develop a specific Safe-by-Design (SbD) approach to guide the whole R&D process, aiming at identifying and mitigating (even eliminating) safety risks across the life cycle of the battery, while also allowing to counteract possible performance and cost trade-offs linked to the implementation of safety barriers in the battery system. The Consortium will develop a new cell-to-pack modular concept targeting at an outstanding safety and electro-thermal performance, mainly for off-road devices (construction site vehicles) and waterborne transport (maritime passenger e-ferries). BATSS consortium will develop, up to TRL5, the different thermal, electric and mechanical innovations to meet (and improve) the industry use cases performance and safety requirements, guided by the SbD approach and supported by cutting edge modelling and simulation tools for the battery system design and predictive maintenance functionalities of the Battery Management System (BMS). Last, but not least, the end of life (EoL) step will be under the scope through (i) the modular concept enabling easier assembly-disassembly of used battery systems, (ii) the data-supported automated disassembly techniques, and (iii) the exploration of battery system second life in a semi-stationary product.	Safety; Battery; Modular; Fire; Thermal runaway; Model; HIL; Ultrasonic	FUNDACION CIDETEC - CIDETEC	ACCUREC-RECYCLING GMBH - AC; AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH - AIT	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101103821/program/43108390/details	
SAFE AND EXPLAINABLE CRITICAL EMBEDDED SYSTEMS BASED ON AI	"Deep Learning (DL) techniques are key for most future advanced software functions in Critical Autonomous AI-based Systems (CAIS) in cars, trains and satellites. Hence, those CAIS industries depend on their ability to design, implement, qualify, and certify DL-based software products under bounded effort/cost. 
There is a fundamental gap between Functional Safety (FUSA) requirements of CAIS and the nature of DL solutions needed to satisfy those requirements. The lack of transparency (mainly explainability and traceability), and the data-dependent and stochastic nature of DL software clash against the need for deterministic, verifiable and pass/fail test-based software solutions for CAIS.
SAFEXPLAIN tackles this challenge by providing a novel and flexible approach to allow the certification – hence adoption – of DL-based solutions in CAIS by (1) architecting transparent DL solutions that allow explaining why they satisfy FUSA requirements, with end-to-end traceability, with specific approaches to explain whether predictions can be trusted, and with strategies to reach (and prove) correct operation, in accordance with certification standards. SAFEXPLAIN will also (2) devise alternative and increasingly complex FUSA design safety patterns for different DL usage levels (i.e. with varying safety requirements) that will allow using DL in any CAIS functionality, for varying levels of criticality and fault tolerance.
SAFEXPLAIN brings together a highly skilled and complementary consortium to successfully tackle this endeavor including 3 research centers, RISE (AI expertise), IKR (FUSA expertise), and BSC (platform expertise); and 3 CAIS case studies, automotive (NAV), space (AIKO), and railway (IKR). SAFEXPLAIN DL-based solutions are assessed in an industrial toolset (EXI). Finally, to prove that transparency levels are fully compliant with FUSA, solutions are reviewed by internal certification experts (EXI), and external ones subcontracted for an independent assessment."	AI; Deep learning; safety; explainability; traceability; cyber-physical system; certification; MPSoC	BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION - BSC CNS	AIKO SRL - AIKO; EXIDA DEVELOPMENT SRL - EXIDA DEV	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101069595/program/43108390/details	
Risk and Resilience in Developmental Diversity and Mental Health	Individuals with mental health (MH) conditions and their families, especially those with highly prevalent neurodevelopmental disorders (NDDs), are exposed to high levels of discrimination and stigma, which significantly affects their physical and mental well-being. Our world-leading collaborative group at the forefront of research in NDDs will launch a new project - ?Risk, Resilience and Developmental Diversity in Mental Health? (R2D2-MH). We propose a double paradigm shift to improve the wellbeing of people with MH conditions and their families. We will move (i) from risk-focused studies towards understanding and promoting resilience, and (ii) from a diagnosis-based approach to a developmental diversity approach that will define wellbeing and functioning across the human lifespan. R2D2-MH aims to identify genetic and environmental protective/resilience factors and how they influence developmental diversity and MH. We will investigate at multiple levels two highly prevalent early risks for MH conditions: prematurity and genetic liability for NDDs. Our project has four main ambitions 1. Provide the largest European multi-scale dataset on early human brain development and MH outcomes; 2 Identify biological mechanisms of resilience to the adverse effects of NDD; 3. Co-develop, with the stakeholders, new digital tools to increase participatory research/medicine and reduce stigma; 4. Establish predictive models to guide personalised interventions. R2D2-MH integrates interdisciplinary and complementary expertise across Europe, Israel, and Australia that covers ethics, epidemiology, sociology, genetics, cell biology, neuroscience, computational modelling, Information Technology, psychology, and psychiatry. Our research is highly engaged: it embeds participant and patient involvement in research to ensure that our expected outcomes are truly translational, and will help to reduce stigma and burden for individuals with MH conditions.	Preterm birth;Autism spectrum disorders;Attention deficit hyperactivity disorders; Ethics;Stakeholders;Brain imaging;Brain development ;Genetics;Web-based portal;eHealth App;IT development;Predictive	INSTITUT PASTEUR - IP	AARHUS UNIVERSITET - AU; APLICA INVESTIGACION Y TRASLACION S. COOP. MAD. -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101057385/program/43108390/details	
Revolutionary high-resolution human 3D brain organoid platform integrating AI-based analytics	"The long-term vision of the 3D-BrAIn consortium is to revolutionize personalized precision medicine for central nervous system (CNS)
disorders, by developing an innovative bio-digital twin model of the human brain that is personalized, precise, and predictive.

In this pathfinder project we bring together three breakthrough technologies: 1) a novel, highly reproducible human brain modelling
technology using robust adherent iPSC-derived 3D cortical organoid cultures, 2) a unique, state-of-the-art 3D multi-electrode array
(MEA) technology for non-invasive high-resolution electrophysiological recordings and 3) a novel approach to analyse and interpret
the large quantities of functional data using tailored automated machine learning (ML)-based algorithms.

With this breakthrough approach we overcome significant hurdles that made it thus far impossible to create a truly representative
and functional model of the CNS for personalized medicine, drug screening and neurotoxicity testing. The revolutionary 3D-BrAIn
high-precision CNS platform will allow robust and accurate modelling of the CNS for a broad range of neuropsychiatric diseases.
Ultimately, the 3D-BrAIn technology will be translatable to multiple other organ systems (cardiomyocytes, pancreatic islets, retina), to
non-invasively obtain longitudinal 3D high-resolution electrophysiological recordings and effectively interpret them.

In this project a prototype of the 3D-BrAIn platform will be developed by growing functional 3D organoids that faithfully resemble
the human cortex on 3D MEA micropillar electrodes, enabling continuous functional monitoring and by developing ML-based
algorithms that can process and interpret the large spatiotemporal data sets. Once all individual components are optimized and
integrated, proof-of-concept will be obtained by validating the platform for two of the envisaged applications: CNS drug
development and neurotoxicity screening."	3D Brain organoids; microelectrode arrays; personalized precision medicine; artificial intelligence (AI); machine learning	ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM - ERASMUS MC	LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN - LMU MUENCHEN; MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV - MPG	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101098791/program/43108390/details	
Response of the Earth System to overshoot, Climate neUtrality and negative Emissions	"The RESCUE project will improve knowledge and understanding in area c) of this call: “Climate and Earth System responses to climate neutrality and net negative emissions”, by pursuing two overall objectives: 1) Quantify the climate and Earth system responses to pathways achieving climate neutrality by Carbon Dioxide Removal (CDR) deployment with and without temperature overshoot, and 2) Assess the potential role of CDR in reducing net GHG emissions, as well as its potential environmental risks and co-benefits.
RESCUE will expand existing knowledge on CDR methods, to design a suite of new global temperature stabilization scenarios at several target values to achieve the first objective. New model developments will deliver improved climate projections with explicit representation of CDR portfolios for these scenarios. The analyses will be devoted to finding suitable pathways to climate neutrality considering multiple aspects of the Earth system response: mean climate and extremes, sea-level rise, global carbon cycling, biodiversity, and ecosystem services. Particular attention will be paid to the reversibility of induced changes by comparing scenarios with and without temperature overshoot. The second objective will be achieved by analyses assessing various factors determining overall effectiveness, impacts and co-benefits of CDR portfolios. These factors include CDR-specific CO2 uptake, CDR-induced biogeophysical climate feedbacks, CDR-derived non-CO2 radiative forcers, and the interaction between socio-economic and environmental impacts (e.g., biodiversity). Moreover, a dedicated analysis will provide key criteria for developing a monitoring system for the effectiveness of CDR portfolio deployments and their potential side effects. Stakeholders will be closely engaged throughout the project to ensure policy relevance and final update of the results which will be made freely available via existing climate services."	Earth System; Climate neutrality; Carbon Dioxide Removal; temperature stabilization; overshoot; extreme events; environmental impacts; climate feedbacks; ecosystems; CDR effectiveness	BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION - BSC CNS	ALFRED-WEGENER-INSTITUT HELMHOLTZ-ZENTRUM FUR POLAR- UND MEERESFORSCHUNG - AWI; CLIMATE ANALYTICS GMBH -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101056939/program/43108390/details	
